ESCBFX,AUD,CAD,CHF,GBP,HKD,JPY,USD
1999-01-04,1.91,1.8004,1.6168,0.7111,9.1332,133.73,1.1789
1999-01-05,1.8944,1.7965,1.6123,0.7122,9.1341,130.96,1.179
1999-01-06,1.882,1.7711,1.6116,0.7076,9.101,131.42,1.1743
1999-01-07,1.8474,1.7602,1.6165,0.70585,9.0131,129.43,1.1632
1999-01-08,1.8406,1.7643,1.6138,0.7094,9.0302,130.09,1.1659
1999-01-11,1.8134,1.7463,1.6104,0.7044,8.9655,126.33,1.1569
1999-01-12,1.809,1.7392,1.6072,0.7066,8.9246,129.63,1.152
1999-01-13,1.862,1.8123,1.5931,0.7084,9.1008,131.89,1.1744
1999-01-14,1.8353,1.7707,1.5934,0.7062,9.0288,132.74,1.1653
1999-01-15,1.8388,1.7797,1.5984,0.7039,9.0102,131.74,1.1626
1999-01-18,1.8292,1.7717,1.6004,0.7013,8.9944,132.9,1.1612
1999-01-19,1.8295,1.7739,1.6001,0.7,8.9944,132.14,1.1616
1999-01-20,1.8064,1.7626,1.6024,0.7014,8.9605,131.59,1.1575
1999-01-21,1.8171,1.7529,1.603,0.7023,8.9647,130.34,1.1572
1999-01-22,1.8225,1.7515,1.5983,0.7005,8.9738,131.88,1.1567
1999-01-25,1.8317,1.762,1.5966,0.6989,8.9765,132.09,1.1584
1999-01-26,1.8391,1.7609,1.6022,0.6976,8.9808,131.81,1.1582
1999-01-27,1.8313,1.7526,1.6082,0.6968,8.935,131.91,1.1529
1999-01-28,1.8262,1.7374,1.6129,0.6928,8.8428,132.25,1.141
1999-01-29,1.8087,1.726,1.6123,0.691,8.8192,132.1,1.1384
1999-02-01,1.7882,1.7123,1.6089,0.6904,8.7839,130.88,1.1338
1999-02-02,1.7741,1.7079,1.6002,0.6888,8.7849,127.7,1.1337
1999-02-03,1.7609,1.7151,1.5975,0.6925,8.7874,126.86,1.1337
1999-02-04,1.7541,1.6951,1.6017,0.6894,8.7296,127.65,1.1263
1999-02-05,1.7294,1.6765,1.6012,0.6885,8.752,127.95,1.1292
1999-02-08,1.723,1.6725,1.6018,0.6888,8.7144,127.82,1.1246
1999-02-09,1.7548,1.6944,1.5999,0.6911,8.7841,129.91,1.1333
1999-02-10,1.7569,1.6945,1.5963,0.6954,8.7883,130.73,1.1342
1999-02-11,1.7427,1.685,1.5966,0.6975,8.7701,129.35,1.1312
1999-02-12,1.7459,1.6752,1.5992,0.6917,8.7163,128.92,1.1244
1999-02-15,1.7353,1.6781,1.595,0.6895,8.7086,129.31,1.1238
1999-02-16,1.7467,1.6807,1.5975,0.6854,8.6603,131.82,1.1176
1999-02-17,1.7751,1.688,1.5973,0.6873,8.7223,133.48,1.1253
1999-02-18,1.7687,1.676,1.5982,0.6871,8.702,134.4,1.1232
1999-02-19,1.7502,1.6616,1.5982,0.6838,8.6551,133.97,1.1163
1999-02-22,1.7237,1.6351,1.5986,0.6789,8.5185,133.61,1.0992
1999-02-23,1.7145,1.6423,1.5954,0.6796,8.482,133.14,1.0969
1999-02-24,1.7465,1.6582,1.594,0.6883,8.5495,133.86,1.1037
1999-02-25,1.7566,1.6543,1.5905,0.6888,8.5466,132.87,1.1031
1999-02-26,1.7819,1.6684,1.589,0.6873,8.5382,131.33,1.1018
1999-03-01,1.7766,1.6579,1.593,0.6829,8.5139,131.13,1.0986
1999-03-02,1.7492,1.6605,1.5912,0.6764,8.4354,131.37,1.0887
1999-03-03,1.7454,1.6615,1.5926,0.6723,8.4416,132.18,1.0899
1999-03-04,1.7494,1.6609,1.5883,0.6759,8.4176,133.92,1.0866
1999-03-05,1.7329,1.6489,1.5912,0.6737,8.3959,133.19,1.0834
1999-03-08,1.7348,1.6527,1.5933,0.6776,8.449,132.77,1.0908
1999-03-09,1.7125,1.6447,1.5931,0.6754,8.4209,132.45,1.0863
1999-03-10,1.7237,1.6607,1.6014,0.6746,8.4851,131.74,1.0953
1999-03-11,1.7144,1.6586,1.5972,0.6694,8.4418,131,1.0891
1999-03-12,1.7247,1.6658,1.5975,0.6686,8.4693,130.8,1.0932
1999-03-15,1.7325,1.6712,1.601,0.6739,8.4867,128.85,1.0949
1999-03-16,1.7365,1.6658,1.5995,0.6703,8.4414,128.65,1.0901
1999-03-17,1.7502,1.6685,1.5987,0.6744,8.4973,130.18,1.0966
