FTSE100,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80,S81,S82,S83
T1,-0.00576254346746153,-0.0267716535433071,-0.0876595744680851,0.0260416666666668,-0.00364952848092027,-0.0745945945945946,-0.0573770491803279,-0.0843378499075683,-0.0848214285714286,0.0811273391145595,-0.0772144549875798,-0.0251979841612671,0.00225225225225225,-0.0638537009963408,-0.0617007750800753,-0.0550926046863979,-0.0328352946361673,0.0700744574114167,0.00544722246676637,0.0310351984266209,-0.0389845874886673,-0.0854545454545455,-0.0534584778616608,-0.0661914460285132,-0.0679156908665105,0.0133333333333333,0.0182815356489945,-0.0228499643499812,-0.0204750204750205,-0.00840390319391301,0.0205935198531008,0.0393700787401575,-0.0424578829486805,-0.0404193835210434,-0.0204248366013072,-0.0286758504357604,0.0341340075853351,-0.0138867832994754,-0.00357188744699993,0.0591127500279362,-0.0559621179509256,0.0245447347585115,-0.0378745053702657,-0.0514285714285714,0.0144230769230769,-0.01720816872064,0.0227295048615884,0.0219160926737633,0.0153291253381425,-0.0612214950253867,-0.0573630136986301,-0.00444444444444444,0.102944785276074,0.0339971066292231,0.0133125258766203,0.151162790697674,-0.0105969148222669,-0.046118336366461,0.0678543671907694,0.00572388002747462,-0.0228295503071313,0,-0.000727708574119327,-0.00633663366336634,-0.0245901639344262,-0.0426252319109462,-0.00981573962459102,-0.0130841121495328,-0.00743494423791822,0.0114806017418844,-0.0267275097783573,-0.104575163398693,-0.0618748415091151,-0.0491282150081879,-0.0942028985507246,0,-0.0834174193389609,0.109714838086032,-0.0256342194076826,0.0158987153625651,-0.0143920725633093,0.0422968079603201,-0.0101162252804442
T2,0.0580593584490857,0.113268608414239,0.175373134328358,0.0961156477598763,0.0766570942976031,0.120327102803738,0.0108695652173913,0.102638941398866,0.154634146341463,0.130870712401055,0.0534355081581715,0.139586410635155,-0.0921348314606742,0.0391236447999133,0.0963765944417663,0.0626451398872055,0.0613379511483777,0.0821160679036716,-0.00541771098974458,0.110365568722367,0.0924528301886792,0.00596421471172962,-0.0015705355218181,0.0556161395856052,0.0829145728643216,0.155263157894737,0.0538599640933573,-0.0291521890201528,0.0100334448160535,-0.0762978216104911,0.00311472238343976,0.0909090909090909,0.0723075358486728,0.0538782286398208,0.0483736447039199,-0.00868306801736619,0.0450285248573757,0.070442456107985,0,0,0.037733698130415,0.0417310664605873,-0.0380835380835381,0.00602409638554217,0.0023696682464455,-0.148305550833475,-0.0185202968734995,0.0523284313725491,-0.024525208361798,0.0714977959796167,0.112624886466848,-0.111607142857143,-0.000889976638113283,0.110958396773795,0.0131690605651067,0.0909090909090909,0.000968391695072823,0.0554211261051652,0.0189564438472735,0.0227652147518592,0.0775178163237865,0.026555276850681,-0.014007882111035,0.0964527700278996,0.092436974789916,-0.0281963083183954,0.0231304347826087,-0.0246212121212121,-0.0674157303370787,-0.0254962258876153,0.0293592319714221,0.0510948905109489,-0.0820994143264754,-0.029639492307915,0.16,-0.0830807384954533,-0.0211580544256045,-0.0198170731707318,0.0305506907958748,-0.0217374265186153,0.00343112482378904,0.00429159489679744,-0.0656928976783173
T3,-0.0370387860470973,0.0356104651162791,-0.026984126984127,-0.0773180308064028,-0.144085787382287,-0.0125130344108446,-0.0537634408602151,-0.031030557384244,-0.0135192226446979,-0.117281070150879,0.0287059791069034,-0.00712896953985742,-0.0680693069306931,0.112934471944471,0.0403336977705946,0.0157656485769291,-0.0691283812795191,-0.158974826705582,-0.108185139536931,-0.132528326319197,0.00259067357512953,0.0266798418972332,-0.0945654185429647,-0.111570247933884,-0.0394431554524362,0.0546697038724374,-0.0817717206132879,-0.134247163666297,-0.0231788079470199,-0.0808752786577496,-0.0727661954446395,-0.0850694444444445,-0.058706373292868,-0.0492553990438334,0.0119331742243437,-0.0386374695863747,-0.12640540716189,-0.0723846728327684,-0.0663081975104876,-0.0417809664486179,-0.163682302537625,0.0637982195845697,0.0068299183741462,-0.061377245508982,-0.0236406619385343,-0.15597849058376,-0.0333226171672979,-0.14615115872831,-0.045451362140206,0.0615918772247185,-0.08,-0.195979899497487,-0.0749359759492261,-0.0487083941416581,-0.124674277205609,-0.161111111111111,-0.0350218644789289,-0.0726378907455579,-0.0919090579431447,-0.146609289212049,-0.0595557496724279,0.0310379644588045,-0.0285006734153016,-0.155216284987277,-0.0423076923076923,0.0502019043820729,-0.0774264830868604,-0.0339805825242718,-0.0281124497991968,-0.0822766653279018,0.0165654484329249,0.0833333333333333,-0.214076534201528,-0.014869722143507,-0.00689655172413793,-0.178512396694215,0.00432033575180697,-0.00999777827149513,-0.0493957703927493,0.000881339636247053,-0.0684938769018713,-0.0361046511627907,0.00312295827615194
T4,0.0555455659991827,-0.00280701754385965,0.0938009787928222,0.0446262956901254,0.089131264309336,0.0623020063357973,0.0113636363636364,0.0677357943085231,0.0188436830835118,0.0131101321585904,0.0558098809376516,0.022845953002611,0.0146082337317397,0.0433608355254429,0.0109318955472802,0.0597787111976231,0.100876383763838,0.0963561435852945,0.0988758776421811,0.0624989115372081,0.0396210163652024,0.12223291626564,-0.023981468864968,0.0813953488372093,0.0628019323671498,0.0863930885529158,0.038961038961039,0.142579578338156,0.00677966101694915,0.117734914535915,0.173634510586963,0.195445920303605,0.0692191435768262,0.0615752157829841,0.0416666666666667,0.00728892488357966,0.144695729802113,0.0751842447513471,0.0527830077936187,0.00484474785289597,0.0621305661368712,0.0348675034867504,0.0379439664681226,0.0733652312599681,0.0411622276029056,0.160460166650438,0.0344712907936782,0.0786961265684671,0.0435558816336513,-0.0607942833585269,0.0141969831410825,0.08125,0.0689696677900818,0.0272170825156528,0.160222560867562,0.124724061810155,0.00605550208533843,0.0554353768987567,0.0698822589818367,0.0892018779342724,0.0386465417150441,0.063536831384531,0.101158266624927,-0.0172117039586919,0.0856760374832664,0.00783252634577046,0.17300783049286,-0.0331658291457286,0.0413223140495868,0.141356673960613,0.0515802106947594,0.0243589743589744,-0.225737957450352,0.0524586689275116,-0.0555555555555556,-0.0516736784342419,0.0586676863409172,-0.0509425493716338,0.09697282695058,0.0142224356921763,0.0873171703374879,0.0342903673321672,0.0046745281842886
T5,0.0377866910318554,0.035890218156228,0.0216256524981357,0.163150198454147,0.0645236635426704,0.0536779324055666,0.0247191011235955,0.035752634718632,-0.121479613282892,0.0336730789299751,0.0281966917564341,-0.00957243139757498,0.172774869109948,0.024104858378346,0.0511305212488277,0.0195031175987241,0.146017513721875,0.0478263019931748,0.038965122285355,0.0490184141018675,0.024026512013256,0.0754716981132075,0.133358927823538,0.0752688172043011,0.0409090909090909,0.100397614314115,0.110714285714286,0.0311878143203445,-0.0143097643097643,0.00990178163544993,0.109523978307872,0.16031746031746,0.123162457595175,0.119709618874773,0.0415094339622642,-0.0579899497487437,0.0503022031585105,0.0554115546339495,0.0993637814556507,-0.0193951347797503,-0.0174375463764531,0.0336927223719677,0.133156216790648,0.0638930163447251,0.0813953488372093,-0.0395099614010693,0.0377395412549096,0.0888860791503351,0,-0.0146899599098705,0.0769903762029746,0.069364161849711,0.0916938783170064,0.0649851789518373,0.138126947278392,0.118743866535819,0.0180372304380755,0.0616455325570396,0.0619358925057118,0.115740740740741,0.038805493452571,0.0220253770648792,0.161109531738618,0.154991243432574,0.030826140567201,0.039988695775046,0.102882274405089,0.00207900207900211,-0.0119047619047619,0.0119960560911481,-0.043014025209871,0.00500625782227785,0.0409474646448352,0.046823079246803,0.0772058823529412,0.0363583759282476,0.0233869095224581,-0.172144715062663,0.128671278021222,0.0770606961509117,0.0143677784902056,0.0687855372503281,0.0620153355583955
T6,-0.0279498007849224,0.00135869565217391,-0.0321167883211679,0,0.0111077589753435,-0.00377358490566038,0.0307017543859649,0.00445400092151731,-0.0559808612440191,-0.0166919064445566,-0.0514189526840431,-0.0251288659793814,-0.0446428571428571,-0.0275918999474024,-0.00841718266253874,-0.0159535379874363,-0.0289923954372624,0.0106202209005947,0.0330292680817949,0.00810048259144034,-0.0436893203883495,0.0215311004784689,0.047978320450836,-0.04,-0.0425764192139738,-0.026196928635953,0.0128617363344051,0.030244552822708,0.0546541417591802,-0.0118289662659595,-0.0282081589623997,-0.0300957592339261,-0.0153536370500881,-0.0238427126556017,-0.0202898550724638,0.142323695721754,0.00959099065651867,-0.0374938601757353,0.0265333964417964,0.0492792490781094,0.065449968533669,-0.0143415906127771,0.0334333677201538,-0.0244413407821229,-0.0419354838709677,0.0732596161046353,-0.0157590614603396,0.00290292614955876,-0.0213493942021512,0.0186510647144428,0.0649878147847279,0.135135135135135,0.0214192394966649,-0.0337630535524883,0.0443907675791733,0.0403508771929825,0.0738072397658529,0.010734894772573,-0.024390243902439,0.0375590213192159,-0.00990007686395089,-0.0353893003225399,0.0114725428471495,0.0670962850644428,-0.0287081339712919,0.00502717391304341,0.0161646371857864,0.0580912863070539,0.132530120481928,0.0447631935047362,-0.00270320409190889,0.0348692403486924,0.159723119043314,-0.0173143516737207,0.126279863481229,0.0561139028475712,0.0258271885044432,0,-0.0209844060835527,-0.0113830670770433,0,0.0551917935286734,0.016058134067019
T7,-0.0301043905434449,0.033921302578019,-0.0965309200603318,-0.082794540229885,-0.0380024955243315,-0.0549242424242424,-0.0404255319148936,-0.0376911314984709,-0.0430816016218956,-0.0696122386118621,0.0758886485886984,0.0356906807666887,-0.0689252336448598,-0.0192020193672949,0.021693173317722,-0.0205241857776064,-0.113125494182763,-0.0462379150903741,-0.0190102531910441,-0.0624209801451199,0.00676818950930626,-0.029664324746292,-0.0516881666715641,-0.0145833333333333,-0.0376282782212087,-0.102968460111317,-0.0476190476190476,-0.0444436876340974,-0.0218623481781377,-0.0433618292306108,-0.0435239973701512,-0.131170662905501,-0.0781356509884117,-0.0202241594022415,-0.00369822485207101,-0.0690202671149714,0.0203481245403285,-0.0571558176457247,-0.0557363710333604,-0.00468583599574028,-0.106202008269344,-0.0357142857142857,-0.0892054993420754,-0.0236220472440945,-0.0594837261503928,-0.0299316247267315,-0.0221696112107072,-0.0639110802361932,-0.0694444444444445,-0.0974372430683111,-0.0511060259344012,0.0142857142857143,-0.05032145141203,0.0153238639712384,-0.0242072261910879,-0.129005059021922,0.0192528578460864,-0.0234037194072458,-0.0576091703056768,-0.117217127490864,-0.0323572337980932,-0.00319429137167735,-0.058959817414759,-0.0287744227353463,-0.0344827586206897,0.12644765896084,-0.0797477224947442,0.0607843137254902,-0.0212765957446809,-0.0524298000207233,-0.0766389412983975,0.0794223826714802,-0.0578828979310038,-0.0161511354737666,-0.096969696969697,0.00660851176315094,0.00242062321832291,-0.0648386175378462,-0.0535854745673834,-0.0246837319628385,-0.0383260877978303,-0.0272513380044987,-0.0258624406762122
T8,-0.0386204276737523,-0.0026246719160105,0.0125208681135225,-0.0551204229488936,-0.0728605667559565,-0.0641282565130261,0.0121951219512195,-0.0622136595958794,0.0688559322033898,0.00728342836122848,0.023503337370822,0.013401403956605,-0.0489335006273526,-0.00170043276779903,0.0064620869675941,0.00164781111657639,-0.0408202254346302,-0.0484550217912933,-0.0555123022940818,-0.00461462889315031,-0.00336134453781513,-0.0386162510056315,-0.0553111056023798,-0.0454545454545455,-0.00710900473933649,-0.062047569803516,-0.0616666666666667,-0.0407014042340864,-0.0860927152317881,-0.0012082495932625,-0.0275982952983227,-0.116883116883117,-0.044551252426287,-0.0584676394326097,-0.0415738678544915,-0.0741372391653291,-0.0730418068236425,-0.0495850372865047,-0.041915430541023,0,-0.0593444356330954,0.00617283950617284,-0.00368654411398386,0.0175953079178886,0.0405727923627685,-0.0469180791637697,-0.0199151890053602,-0.0559059987631416,-0.0127895007720021,-0.0746842394288853,0.00643086816720257,-0.0516431924882629,-0.0821577940029773,-0.0362294653741221,0.00439797745707353,-0.0222652468538238,-0.0251676951972094,-0.0315730651019838,-0.0253698319103831,-0.103569475904085,0.0119379994223548,-0.0119935534650125,-0.0120530628743614,-0.0822970007315289,0.0165816326530612,0.0909309117094051,-0.0289369479134937,0.0378927911275415,-0.0840579710144928,-0.037834882449426,-0.0312544967910899,-0.0546265328874025,0.0720296912675524,-0.00447716645109952,0.0302013422818792,0.00665266106442582,-0.0313921133597282,-0.138973732437385,-0.0301624129930394,-0.00504142071795913,-0.0147287653592317,-0.00781436887010605,-0.0191718651329962
T9,0.0157888671199724,-0.0394736842105263,0.00329760923330585,-0.023831727282147,-0.0530397493993492,0,-0.00109529025191676,0.0122840582574992,-0.0188305252725471,-0.0434576196910491,0.0205128205128206,0.026448362720403,0.0422163588390501,-0.00767265389425548,-0.00458614036752383,0.0291943919267318,-0.126587881202142,0.00463165478732988,0.0186657331918065,-0.0231777395001446,-0.00674536256323777,-0.0125523012552301,-0.0140059697576015,-0.0232558139534884,0.0310262529832936,-0.140022050716648,0.0106571936056838,0.0467751523257541,-0.15036231884058,0.0126840018684649,-0.0120524511363236,0.00735294117647059,-0.12189223178872,0.0246593588566696,0.00852052672347018,-0.0390074764329831,-0.00861845515811291,0.0130350871642358,0.00535783117049971,-0.0282473785576717,0.0730644934663482,0.0252215405589639,0.0172008600430021,0.0461095100864553,0.0894495412844037,0.0453413492981838,-0.0226188776238754,-0.0328835320319665,0.0118864530928238,-0.0543550357828591,-0.0495207667731629,0.0643564356435644,0.00193080012357121,0.137845102128396,0.0439182988541913,0.0178217821782178,0.0119820910859114,0,0.0355033102349851,0.0196044262437919,0.0377382424761362,0.00404005917833162,0.0689231913706527,0.0641689916301315,0.0376411543287327,0.0861386138613862,0.129469887076537,-0.0756901157613535,0.0205696202531646,0.0201159222638937,-0.0403434241406971,0.00235849056603774,-0.122516483274163,-0.0419748151109334,0.0260586319218241,0,0.0773095418881295,0.145086910251862,-0.0365993001499679,-0.0406884962061415,0.0219877467665078,0.00675078357309326,-0.00752139837838651
T10,-0.0466141528088431,-0.0458904109589041,-0.0640920295809367,-0.0842798004458125,-0.121013585123808,-0.0738758029978587,-0.0625,-0.0849519133533723,-0.054040404040404,-0.129767495132287,0.00402174538815178,-0.00368098159509202,-0.127848101265823,-0.00171649926932804,-0.0405545670225385,0,-0.188795418841535,-0.156109930077094,-0.0494507321723515,-0.164748259102822,-0.0432937181663837,-0.0949152542372881,-0.160545575515635,-0.0702947845804989,-0.0555555555555556,-0.124358974358974,-0.10896309314587,-0.0769476486246673,-0.216417910447761,-0.0651212300413956,-0.0638952489982826,-0.138686131386861,-0.0732620909992287,-0.0499235863474273,-0.00921658986175115,-0.136204758146352,-0.0158833910713119,-0.0300446609825416,-0.074601369168573,-0.0388680907289142,-0.0928375016367684,-0.00265957446808511,-0.0241360664602074,-0.0826446280991736,-0.0678947368421053,-0.0619638323727937,-0.037036495923794,-0.091845028447575,-0.0864525103686339,0.00553750738334318,-0.125210084033613,0.013953488372093,-0.246897402297078,0.00881348754730974,-0.0851710453609283,-0.156614785992218,0.00183133578720239,-0.0821163833281548,-0.0405762167125804,-0.153819859853017,-0.12728050606607,-0.0249929158401814,-0.0119702136543949,-0.048314606741573,0.0157194679564692,0.0227894257064722,-0.127751162952163,-0.0077071290944123,-0.0465116279069767,-0.0695187165775402,-0.0147045166083645,-0.0341176470588235,-0.139647676727063,-0.0469434592113499,-0.117460317460317,0.0491304347826087,-0.00834028356964126,-0.0845724907063197,-0.0226085022793819,-0.0547563435608876,0.0412975421301539,-0.113222106915729,-0.0303014686936356
