MultiAsset,GSPC,RUA,GDAXI,FTSE,N225,EEM,DJCBTI,GREXP,BG05.L,GLD
2004-11-30,1173.82,670.84,4126,4703.2,10899.25,19.5,131.69,302.6,151.93,45.12
2004-12-31,1211.92,693.63,4273.805,4814.3,11498.4233333333,20.43,132.97,303.8,152.88,43.8
2005-01-31,1181.27,674.54,4254.85,4852.3,11387.59,20.32,133.47,306.63,152.46,42.22
2005-02-28,1203.6,688.05,4350.49,4968.5,11740.6,22.29,131.73,305.64,150.47,43.52
2005-03-31,1180.59,675.45,4348.77,4894.4,11668.95,20.53,131.15,306.7,150.92,42.82
2005-04-29,1156.85,660.02,4184.84,4801.7,11005.505,20.27,133.703333333333,311.74,153.09,43.35
2005-05-31,1191.5,683.87,4460.63,4964,11276.59,20.91,135.02,313.99,153.5,41.65
2005-06-30,1191.33,687.61,4586.28,5113.2,11584.01,21.74,135.46,317.11,155.68,43.44
2005-07-29,1234.18,715.02,4886.5,5282.3,11899.6,23.41,132.75,315.91,154.51,42.82
2005-08-31,1220.33,706.84,4829.69,5296.9,12413.6,23.72,134.96,317.78,155.01,43.4
2005-09-30,1228.81,712.21,5044.12,5477.7,13574.3,25.77,132.42,317.62,154.4,46.7
2005-10-31,1207.01,698.14,4929.07,5317.3,13606.5,24.14,130.74,313.92,154.56,46.4
2005-11-30,1249.48,723.62,5193.4,5423.2,14872.15,25.54,131.04,314.3,154.42,49.1
2005-12-30,1248.29,723.31,5408.26,5618.8,16111.43,27.1,132.1,316.2,156.58,51.58
2006-01-31,1280.08,746.77,5674.15,5760.3,16649.82,30.94,131.07,314.69,157.44,56.7
2006-02-28,1280.66,746.57,5796.04,5791.5,16205.43,29.75,130.65,314.77,155.97,56.07
2006-03-31,1294.87,758.45,5970.08,5964.6,17059.66,30.4,128.75,311.5,153.62,58.1
2006-04-28,1310.61,765.81,6009.89,6023.1,16906.23,32.38,127.76,309.69,151.65,65.09
2006-05-31,1270.09,739.78,5692.86,5723.8,15467.33,28.77,127.18,311.81,150.83,64.23
2006-06-30,1270.2,740.14,5683.31,5833.4,15505.18,28.83,127.13,310.13,151.630689655172,61.23
