StockIndexAdj,SP500,N225,FTSE100,CAC40,GDAX,HSI
1991-07-31,387.81,24121,2588.8,1754.7,1622.3,4009
1991-08-30,395.43,22336,2645.7,1864.3,1650.5,3998
1991-09-30,387.86,23916,2621.7,1880.6,1607,3956.7
1991-10-31,392.45,25222,2566,1856.7,1582.1,4038.7
1991-11-29,375.22,22687,2420.2,1739.7,1566.6,4149.8
1991-12-30,415.14,22984,2420,1741.9,1578,4275.2
1992-01-31,408.78,22023,2571.2,1875.3,1687.5,4601.8
1992-02-28,412.7,21339,2562.1,1983.4,1745.1,4929.1
1992-03-31,403.69,19346,2440.1,1942.4,1717.9,4938.3
1992-04-30,414.95,17391,2654.1,2031.1,1734,5369.6
1992-05-29,415.35,18348,2707.6,2033.3,1803.2,6080.2
1992-06-30,408.14,15952,2521.2,1900.6,1752.6,6103.9
1992-07-31,424.21,15910,2399.6,1754.7,1615.4,5881.1
1992-08-28,414.84,17971,2312.6,1687.5,1516.5,5628.6
1992-09-30,417.8,17399,2553,1736.7,1466.4,5505.4
1992-10-30,418.68,16767,2658.3,1742.4,1492.3,6190.7
1992-11-30,431.35,17684,2778.8,1771.4,1544.3,5810.6
1992-12-30,438.82,16925,2832.5,1858.8,1545.1,5467.9
1993-01-29,438.78,17024,2807.2,1772.2,1571.9,5751.4
1993-02-26,443.38,16953,2868,1983.7,1684.4,6352
1993-03-31,451.67,18591,2878.7,2031.4,1684.2,6388.9
1993-04-30,440.19,20919,2813.1,1939,1627.2,6830.5
1993-05-28,450.19,20844,2840.7,1888.7,1631.9,7397.9
1993-06-30,450.53,19590,2900,1971.9,1697.6,7099.3
1993-07-30,448.13,20380,2926.5,2085.9,1803.2,6989
1993-08-31,463.56,21027,3100,2216.5,1944.9,7549.7
1993-09-30,458.93,20106,3037.5,2114.6,1915.7,7676.2
1993-10-29,467.83,19703,3171,2182,2069,9329.1
1993-11-30,461.79,16407,3166.9,2110.1,2057.8,9125.2
1993-12-30,468.64,17417,3428.8,2281.2,2266.7,11877.5
1994-01-31,481.61,20229,3491.8,2334.4,2177.5,11487
1994-02-28,467.14,19997,3328.1,2238.1,2091.6,10410.2
1994-03-31,445.77,19112,3086.4,2081.9,2133.1,9029.9
1994-04-28,449.1,19725,3129.9,2150.3,2251.2,9163.1
1994-05-31,456.5,20974,2970.5,2029.9,2127.7,9553.6
1994-06-30,444.27,20644,2919.2,1892,2025.3,8758.4
1994-07-29,458.26,20449,3082.6,2075,2146.6,9482.8
1994-08-31,475.49,20629,3251.3,2069.1,2212.9,9929.4
1994-09-30,462.71,19564,3026.3,1879.3,2011.8,9521.2
1994-10-28,473.77,19805,3083.8,1905.7,2040.3,9379.5
1994-11-30,453.69,19076,3081.4,1975.9,2048.3,8466.3
1994-12-30,459.27,19723,3065.5,1881.2,2106.6,8191
1995-01-30,468.51,18753,2995.9,1813.4,2035,7342.7
1995-02-28,487.39,17053,3009.3,1776.9,2102.2,8327.5
1995-03-31,500.71,16140,3137.9,1859.5,1922.6,8587.7
1995-04-28,514.71,16807,3216.7,1918.5,2015.9,8361
1995-05-31,533.4,15437,3319.4,1948,2092.2,9407.4
1995-06-30,544.75,14517,3314.6,1858.8,2083.9,9206.5
1995-07-31,562.06,16678,3463.3,1920,2218.7,9453.4
1995-08-31,561.88,18117,3477.8,1883.4,2238.3,9179.9
1995-09-29,584.41,17913,3508.2,1788.4,2187,9646.3
1995-10-31,581.5,17655,3529.1,1814,2167.9,9782.4
1995-11-30,605.37,18744,3664.3,1828.3,2242.8,9813.3
1995-12-29,615.93,19868,3689.3,1872,2253.9,10073.4
1996-01-31,636.02,20813,3759.3,2021,2470.1,11359.7
1996-02-29,640.43,20125,3727.6,1990.8,2473.6,11125.7
1996-03-29,645.5,21407,3699.7,2044.8,2485.9,10957.2
1996-04-30,654.17,22041,3817.9,2146.8,2505.3,10964.5
1996-05-31,669.12,21956,3747.8,2110.1,2542.8,11264.7
1996-06-28,670.63,22531,3711,2123.7,2561.4,11020.9
1996-07-31,639.95,20693,3703.2,1995.9,2473.4,10681.4
1996-08-30,651.99,20167,3867.6,1970.6,2543.8,11159
1996-09-30,687.33,21556,3953.7,2132.8,2651.9,11902.4
1996-10-31,705.27,20467,3979.1,2140.5,2659.3,12477.6
1996-11-29,757.02,21020,4058,2315.7,2845.5,13393.9
1996-12-30,753.85,19361,4115.7,2318.6,2888.7,13480.8
1997-01-31,786.16,18330,4275.8,2516.6,3035.2,13321.8
1997-02-28,790.82,18557,4308.3,2607.8,3259.6,13398.7
1997-03-27,773.88,18210,4312.9,2656.7,3429.1,12534.3
1997-04-30,801.34,19151,4436,2639.5,3438.1,12903.3
1997-05-30,848.28,20069,4621.3,2583.9,3562.7,14757.8
1997-06-27,887.3,20524,4640.3,2891,3809.9,15196.8
1997-07-31,954.31,20331,4907.5,3075.7,4405.5,16365.7
1997-08-29,899.47,18229,4817.5,2770.5,3919.8,14135.2
1997-09-30,947.28,17888,5244.2,3008.3,4154.9,15049.3
1997-10-31,914.62,16459,4842.3,2739.3,3753.7,10623.8
1997-11-28,955.4,16633,4831.8,2854.4,3972.1,10526.9
1997-12-30,970.84,15259,5132.3,2975.5,4224.3,10755.2
1998-01-27,969.02,16982,5326.3,3052,4316.1,9252.4
