StockIndexAdjD,SP500,N225,FTSE100,CAC40,GDAX,HSI
1991-07-01,377.92,24109,2443.6,1772.8,1625.2,3738
1991-07-02,377.47,23996,2460.2,1750.5,1610.5,3772
1991-07-03,373.33,23373,2448.2,1718,1614.4,3796
1991-07-04,373.33,23136,2470.4,1708.1,1616.1,3850
1991-07-05,374.08,22898,2484.7,1723.1,1618.9,3892
1991-07-08,377.94,22176,2466.8,1714.3,1605,3880
1991-07-09,376.11,22609,2487.9,1734.5,1627.6,3904
1991-07-10,375.74,23121,2508.4,1757.4,1634.7,3901
1991-07-11,376.97,22938,2510.5,1754,1637.9,3892
1991-07-12,380.25,23138,2497.4,1754.3,1644.8,3915
1991-07-15,382.39,23459,2532.5,1759.8,1646.6,3945
1991-07-16,381.54,23375,2556.8,1755.5,1643.9,3997
1991-07-17,381.18,23061,2561,1758.1,1625.5,3962
1991-07-18,385.37,22909,2547.3,1757.5,1618.3,3976
1991-07-19,384.22,22866,2541.5,1763.5,1624,4009
1991-07-22,382.88,22705,2558.5,1762.8,1623,3988
1991-07-23,379.42,22759,2587.9,1768.9,1632.9,4009
1991-07-24,378.64,23297,2580.5,1778.1,1621.7,4028
1991-07-25,380.96,23333,2579.6,1780.1,1615.4,4012
1991-07-26,380.93,23519,2589.3,1767.7,1605.6,4031
1991-07-29,383.15,23444,2595,1757.9,1605.6,4016
1991-07-30,386.69,23873,2595.6,1756.6,1614.9,3991
1991-07-31,387.81,24121,2588.8,1754.7,1622.3,4009
1991-08-01,387.12,24073,2591.7,1766.8,1622.6,4030
1991-08-02,387.18,24028,2601.7,1766.5,1615.4,4059
1991-08-05,385.06,23833,2585.4,1762.2,1622,4063
1991-08-06,390.62,23465,2573.3,1759.5,1611.9,4021
1991-08-07,390.56,23691,2597.4,1782.4,1631.4,4061
1991-08-08,389.32,23482,2600.6,1789.5,1630.2,4046
1991-08-09,387.12,23435,2570.6,1783.5,1632.2,4024
1991-08-12,388.02,22986,2569.4,1780.4,1626.1,4070
1991-08-13,389.62,22872,2584.9,1808.8,1644.7,4052
1991-08-14,389.9,23393,2608.8,1820.3,1650.2,4079
1991-08-15,389.33,23019,2617.2,1820.3,1654.3,4073
1991-08-16,385.58,22814,2621,1820.3,1653.3,4063
1991-08-19,376.47,21457,2540.5,1687.5,1497.9,3722
1991-08-20,379.43,21687,2554.5,1725.6,1526.9,3848
1991-08-21,390.59,22052,2601.9,1792.9,1570.8,3863
1991-08-22,391.33,22516,2623,1819.1,1630.8,4045
1991-08-23,394.17,22065,2640.7,1833.5,1627.2,4021
1991-08-26,393.85,21592,2640.7,1853.4,1654.2,4021
1991-08-27,393.06,21641,2619.8,1849.7,1647.1,3981
1991-08-28,396.64,21622,2624.2,1851.8,1647.5,3968
1991-08-29,396.47,22002,2638.2,1857.7,1655.5,3960
1991-08-30,395.43,22336,2645.7,1864.3,1650.5,3998
1991-09-02,395.43,22469,2679.6,1863.5,1650.5,4023
1991-09-03,392.15,22470,2669,1873.2,1655.6,4025
1991-09-04,389.97,22403,2664.6,1860.8,1647.9,4006
1991-09-05,389.14,22500,2663.3,1868.7,1647.2,3990
1991-09-06,389.1,22693,2667.4,1860.4,1646.2,3970
1991-09-09,388.57,22574,2653.2,1855.9,1633.1,3940
1991-09-10,384.56,22412,2630.8,1840.5,1629.1,3959
1991-09-11,385.09,22505,2626.6,1842.6,1628.2,3966
1991-09-12,387.34,22530,2641.9,1861.2,1631.3,3970
1991-09-13,383.59,23134,2625.8,1876.2,1637.6,3974
1991-09-16,385.78,23134,2606,1878.3,1629.8,3953
1991-09-17,385.5,23444,2594.4,1878.4,1634.6,3938
1991-09-18,386.94,23318,2583.6,1869.4,1628.1,3900
1991-09-19,387.56,23332,2588.7,1880.4,1620.7,3863
